;AUT;CMUNI;CONEIX_ABASCAL;CONEIX_CASADO;CONEIX_IGLESIAS;CONEIX_RIVERA;CONEIX_SANCHEZ;CP;EDAT;EDATCOD;ESTUDIS;HABI;IDEOLOGIA;ID_AUT;ID_CONEIX_ABASCAL;ID_CONEIX_CASADO;ID_CONEIX_IGLESIAS;ID_CONEIX_RIVERA;ID_CONEIX_SANCHEZ;ID_CONTACTO;ID_EDATCOD;ID_ESTUDIS;ID_HABI;ID_IDEOLOGIA;ID_IMP_ELEC;ID_INT_GEN;ID_INT_SIMP_GEN;ID_OCUPACIO;ID_PERTINEN;ID_PREFER_POLITIC;ID_PROB_VOT_GEN;ID_REC_GEN;ID_SEXE;ID_SIMP_GEN;IMP_ELEC;INT_GEN;INT_SIMP_GEN;OCUPACIO;PERTINEN;PREFER_POLITIC;PROB_VOT_GEN;REC_GEN;REGISTRO;SEXE;SIMP_GEN;TIP_TEL;VAL_ABASCAL;VAL_CASADO;VAL_IGLESIAS;VAL_RIVERA;VAL_SANCHEZ
13;Comunitat Valenciana;99995;No;No;Sí;Sí;Sí;46980;40;De 30 a 44 años;Postobligatorios;De 10.001 a 100.000;No sabe;10;2;2;1;1;1;4394133;2;3;2;98;4;98;97;1;3;97;2;13;2;97.0;Nada importantes;No sabe;Ninguno;Trabajador;Tan español como de su comunidad;Ninguno de estos;Probablemente votaría;Compromís + Podemos + IU;48;Mujer;Ninguno;Móviles aleatorios;3.093561417800859;3.894485893630233;6.417505030181086;7.53522554485555;7.00701051577366
14;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28023;72;De 60 y más años;Obligatorios;Más de 500.000;Centro;13;1;1;1;1;1;4390129;4;2;4;3;2;1;1;6;3;1;1;1;2;;Bastante importantes;PP;PP;Jubilado, pensionista;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;58;Mujer; ;Móviles aleatorios;8.0;8.0;0.0;8.0;0.0
15;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;24001;44;De 30 a 44 años;Universitarios;De 100.001 a 500.000;Izquierda;7;1;1;1;1;1;4383932;2;5;3;1;1;98;2;1;3;2;1;5;1;2.0;Muy importantes;No sabe;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;Unidos Podemos;65;Hombre;PSOE;Móviles aleatorios;0.0;0.0;5.0;1.0;6.0
16;Galicia;99995;No;Sí;Sí;Sí;Sí;32005;57;De 45 a 59 años;Universitarios;De 100.001 a 500.000;Centro;12;2;1;1;1;1;4377789;3;5;3;3;1;95;95;1;99;4;1;1;1;;Muy importantes;Otro partido;Otro partido;Trabajador;No contesta;Albert Rivera;Votaría seguro;PP;76;Hombre; ;Móviles aleatorios;3.093561417800859;6.0;5.0;6.0;4.0
17;Asturias, Principado de;99995;Sí;Sí;Sí;Sí;Sí;33390;58;De 45 a 59 años;Postobligatorios profesionales;De 100.001 a 500.000;Izquierda;3;1;1;1;1;1;4376862;3;4;3;1;1;2;2;6;3;2;1;5;1;;Muy importantes;PSOE;PSOE;Jubilado, pensionista;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;Unidos Podemos;79;Hombre; ;Móviles aleatorios;0.0;0.0;4.0;0.0;6.0
18;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;21500;29;De 18 a 29 años;Universitarios;De 10.001 a 100.000;Izquierda;1;1;1;1;1;1;4394977;1;5;2;1;2;98;2;1;3;98;1;2;2;2.0;Bastante importantes;No sabe;PSOE;Trabajador;Tan español como de su comunidad;No sabe;Votaría seguro;PSOE;80;Mujer;PSOE;Móviles aleatorios;6.0;7.0;8.0;7.0;7.0
19;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28722;44;De 30 a 44 años;Universitarios;Hasta 10.000;Centro derecha;13;1;1;1;1;1;4391008;2;5;1;4;1;14;14;1;3;1;1;1;2;;Muy importantes;Vox;Vox;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;85;Mujer; ;Móviles aleatorios;10.0;9.0;0.0;5.0;0.0
20;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;17820;63;De 60 y más años;Postobligatorios;De 10.001 a 100.000;Izquierda;9;1;1;1;1;1;4371119;4;3;2;1;1;7;7;6;3;2;1;7;2;;Muy importantes;ERC;ERC;Jubilado, pensionista;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;ERC;91;Mujer; ;Móviles aleatorios;0.0;0.0;7.0;0.0;5.0
21;Catalunya;8019;Sí;Sí;Sí;Sí;Sí;8028;82;De 60 y más años;Postobligatorios;Más de 500.000;Derecha;9;1;1;1;1;1;4379257;4;3;4;5;1;98;98;6;2;98;1;99;1;98.0;Muy importantes;No sabe;No sabe;Jubilado, pensionista;Más español que de su comunidad;No sabe;Votaría seguro;No contesta;93;Hombre;No sabe;Móviles aleatorios;1.0;2.0;1.0;2.0;8.0
22;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;17320;67;De 60 y más años;Postobligatorios;Hasta 10.000;Centro;9;1;1;1;1;1;4376456;4;3;1;3;2;99;98;6;4;97;1;6;2;98.0;Bastante importantes;No contesta;No sabe;Jubilado, pensionista;Más de su comunidad que español;Ninguno de estos;Votaría seguro;CDC;97;Mujer;No sabe;Móviles aleatorios;4.0;4.0;5.0;3.0;4.0
23;Madrid, Comunidad de;99995;No;Sí;Sí;Sí;Sí;28945;42;De 30 a 44 años;Postobligatorios profesionales;De 100.001 a 500.000;Centro izquierda;13;2;1;1;1;1;4383666;2;4;3;2;3;94;97;1;3;97;1;5;1;97.0;Poco importantes;Nulo;Ninguno;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;Unidos Podemos;98;Hombre;Ninguno;Móviles aleatorios;3.093561417800859;0.0;0.0;0.0;0.0
24;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28002;53;De 45 a 59 años;Obligatorios;Más de 500.000;No sabe;13;1;1;1;1;1;4381871;3;2;4;98;1;2;2;1;1;2;1;2;2;;Muy importantes;PSOE;PSOE;Trabajador;Únicamente español;Pedro Sánchez;Votaría seguro;PSOE;100;Mujer; ;Móviles aleatorios;6.0;4.0;5.0;9.0;10.0
25;Comunitat Valenciana;46250;Sí;Sí;Sí;Sí;Sí;46008;58;De 45 a 59 años;Universitarios;Más de 500.000;Centro;10;1;1;1;1;1;4394597;3;5;4;3;1;4;4;7;3;4;1;1;2;;Muy importantes;C's;C's;Tareas del hogar;Tan español como de su comunidad;Albert Rivera;Votaría seguro;PP;121;Mujer; ;Móviles aleatorios;6.0;6.0;4.0;6.0;3.0
26;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;8860;43;De 30 a 44 años;Postobligatorios profesionales;De 10.001 a 100.000;No contesta;9;1;1;1;1;1;4380506;2;4;2;99;1;98;97;1;3;2;1;97;2;97.0;Muy importantes;No sabe;Ninguno;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;No votó;130;Mujer;Ninguno;Móviles aleatorios;5.0;7.656073808303434;7.0;0.0;7.0
27;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;29700;42;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro derecha;1;1;1;1;1;1;4377293;2;5;2;4;1;1;1;1;1;1;1;1;2;;Muy importantes;PP;PP;Trabajador;Únicamente español;Pablo Casado;Votaría seguro;PP;137;Mujer; ;Móviles aleatorios;7.0;10.0;3.0;8.0;6.0
28;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;21291;23;De 18 a 29 años;Universitarios;Hasta 10.000;Centro izquierda;1;1;1;1;1;1;4395246;1;5;1;2;1;1;1;5;4;4;1;2;2;;Muy importantes;PP;PP;Parado;Más de su comunidad que español;Albert Rivera;Votaría seguro;PSOE;141;Mujer; ;Móviles aleatorios;4.0;7.0;6.0;8.0;3.0
29;Catalunya;8019;Sí;Sí;Sí;Sí;Sí;8031;64;De 60 y más años;Postobligatorios profesionales;Más de 500.000;Centro derecha;9;1;1;1;1;1;4378020;4;4;4;4;2;99;99;1;1;99;1;99;2;99.0;Bastante importantes;No contesta;No contesta;Trabajador;Únicamente español;No contesta;Votaría seguro;No contesta;145;Mujer;No contesta;Móviles aleatorios;0.0;0.0;0.0;0.0;0.0
30;Castilla - la Mancha;99995;Sí;Sí;Sí;Sí;Sí;45529;32;De 30 a 44 años;Postobligatorios profesionales;Hasta 10.000;Centro izquierda;8;1;1;1;1;1;4394140;2;4;1;2;1;98;97;5;3;97;1;4;2;97.0;Muy importantes;No sabe;Ninguno;Parado;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;C's;147;Mujer;Ninguno;Móviles aleatorios;2.0;3.0;0.0;2.0;3.0
31;Catalunya;8019;Sí;Sí;Sí;Sí;Sí;8014;37;De 30 a 44 años;Postobligatorios;Más de 500.000;Centro izquierda;9;1;1;1;1;1;4371221;2;3;4;2;2;97;2;5;2;5;4;1;2;2.0;Bastante importantes;No votaría;PSOE;Parado;Más español que de su comunidad;Pablo Iglesias;Seguro que no votaría;PP;148;Mujer;PSOE;Móviles aleatorios;5.0;5.0;7.0;7.0;8.0
32;Andalucía;99995;No;Sí;Sí;Sí;Sí;14014;43;De 30 a 44 años;Postobligatorios profesionales;De 100.001 a 500.000;No contesta;1;2;1;1;1;1;4392003;2;4;3;99;2;98;4;1;3;97;2;98;2;4.0;Bastante importantes;No sabe;C's;Trabajador;Tan español como de su comunidad;Ninguno de estos;Probablemente votaría;No sabe / No recuerda;153;Mujer;C's;Móviles aleatorios;3.093561417800859;5.0;1.0;6.0;5.0
33;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;47010;50;De 45 a 59 años;Universitarios;De 100.001 a 500.000;Derecha;7;1;1;1;1;1;4386110;3;5;3;5;2;14;14;1;3;1;1;1;2;;Bastante importantes;Vox;Vox;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;164;Mujer; ;Móviles aleatorios;3.0;2.0;1.0;2.0;1.0
34;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28020;25;De 18 a 29 años;Universitarios;Más de 500.000;Derecha;13;1;1;1;1;1;4394292;1;5;4;5;2;14;14;1;2;14;1;1;2;;Bastante importantes;Vox;Vox;Trabajador;Más español que de su comunidad;Santiago Abascal;Votaría seguro;PP;165;Mujer; ;Móviles aleatorios;7.0;6.0;0.0;3.0;0.0
35;Murcia, Región de;99995;Sí;Sí;Sí;Sí;Sí;30800;41;De 30 a 44 años;Universitarios;De 10.001 a 100.000;No sabe;14;1;1;1;1;1;4369874;2;5;2;98;1;4;4;1;3;4;1;4;2;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;170;Mujer; ;Móviles aleatorios;7.0;5.0;4.0;9.0;3.0
36;Canarias;99995;No;Sí;Sí;Sí;Sí;38670;21;De 18 a 29 años;Postobligatorios profesionales;De 10.001 a 100.000;Centro derecha;5;2;1;1;1;1;4377369;1;4;2;4;2;1;1;1;5;2;2;1;1;;Bastante importantes;PP;PP;Trabajador;Únicamente de su comunidad;Pedro Sánchez;Probablemente votaría;PP;179;Hombre; ;Móviles aleatorios;3.093561417800859;7.0;5.0;6.0;6.0
37;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;48940;47;De 45 a 59 años;Obligatorios;De 10.001 a 100.000;Centro derecha;16;1;1;1;1;1;4391978;3;2;2;4;1;1;1;1;3;1;1;2;1;;Muy importantes;PP;PP;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PSOE;181;Hombre; ;Móviles aleatorios;5.0;10.0;0.0;10.0;3.0
38;Galicia;99995;Sí;Sí;Sí;Sí;Sí;36208;61;De 60 y más años;Universitarios;De 100.001 a 500.000;Izquierda;12;1;1;1;1;1;4391891;4;5;3;1;1;11;11;6;5;5;1;11;1;;Muy importantes;En marea;En marea;Jubilado, pensionista;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;En marea;183;Hombre; ;Móviles aleatorios;0.0;0.0;7.0;0.0;4.0
39;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28330;29;De 18 a 29 años;Postobligatorios;De 10.001 a 100.000;Izquierda;13;1;1;1;1;1;4386804;1;3;2;1;1;5;5;5;99;5;1;97;1;;Muy importantes;Unidos Podemos;Unidos Podemos;Parado;No contesta;Pablo Iglesias;Votaría seguro;No votó;187;Hombre; ;Móviles aleatorios;0.0;2.0;8.0;2.0;4.0
40;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;3330;56;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Centro;10;1;1;1;1;1;4382486;3;5;2;3;1;1;1;1;3;1;1;1;1;;Muy importantes;PP;PP;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;190;Hombre; ;Móviles aleatorios;9.0;10.0;0.0;9.0;0.0
41;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;3660;63;De 60 y más años;Postobligatorios;De 10.001 a 100.000;Izquierda;10;1;1;1;1;1;4385570;4;3;2;1;98;97;98;6;3;96;4;97;1;98.0;No sabe;No votaría;No sabe;Jubilado, pensionista;Tan español como de su comunidad;Indiferente;Seguro que no votaría;No votó;195;Hombre;No sabe;Móviles aleatorios;0.0;0.0;1.0;1.0;1.0
42;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;8901;42;De 30 a 44 años;Postobligatorios profesionales;De 100.001 a 500.000;Izquierda;9;1;1;1;1;1;4369983;2;4;3;1;1;8;8;1;5;5;1;8;1;;Muy importantes;En Comú Podem;En Comú Podem;Trabajador;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;En Comú Podem;200;Hombre; ;Móviles aleatorios;0.0;0.0;5.0;0.0;3.0
43;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;43120;29;De 18 a 29 años;Postobligatorios profesionales;Hasta 10.000;Centro izquierda;9;1;1;1;1;1;4369422;1;4;1;2;2;7;7;1;5;5;1;97;1;;Bastante importantes;ERC;ERC;Trabajador;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;No votó;212;Hombre; ;Móviles aleatorios;0.0;0.0;5.0;0.0;0.0
44;Castilla - la Mancha;99995;Sí;Sí;Sí;Sí;Sí;2660;44;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro izquierda;8;1;1;1;1;1;4386665;2;5;2;2;2;2;2;1;3;2;1;5;1;;Bastante importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;Unidos Podemos;213;Hombre; ;Móviles aleatorios;0.0;0.0;5.0;4.0;6.0
45;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;8186;57;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Izquierda;9;1;1;1;1;1;4371876;3;5;2;1;1;7;7;1;5;5;1;7;1;;Muy importantes;ERC;ERC;Trabajador;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;ERC;223;Hombre; ;Móviles aleatorios;0.0;0.0;5.0;0.0;2.0
46;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28224;49;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Izquierda;13;1;1;1;1;1;4387608;3;5;2;1;1;5;5;1;3;5;1;5;2;;Muy importantes;Unidos Podemos;Unidos Podemos;Trabajador;Tan español como de su comunidad;Pablo Iglesias;Votaría seguro;Unidos Podemos;235;Mujer; ;Móviles aleatorios;0.0;0.0;8.0;0.0;6.0
47;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;12004;58;De 45 a 59 años;Postobligatorios;De 100.001 a 500.000;Centro derecha;10;1;1;1;1;1;4381164;3;3;3;4;1;1;1;1;3;1;1;1;2;;Muy importantes;PP;PP;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;237;Mujer; ;Móviles aleatorios;7.0;9.0;2.0;8.0;1.0
48;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;21810;54;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Centro izquierda;1;1;1;1;1;1;4395253;3;5;2;2;2;98;97;1;2;97;1;99;2;97.0;Bastante importantes;No sabe;Ninguno;Trabajador;Más español que de su comunidad;Ninguno de estos;Votaría seguro;No contesta;242;Mujer;Ninguno;Móviles aleatorios;4.0;7.656073808303434;6.417505030181086;6.0;7.00701051577366
49;Andalucía;29067;Sí;Sí;Sí;Sí;Sí;29009;37;De 30 a 44 años;Universitarios;Más de 500.000;Izquierda;1;1;1;1;1;1;4376331;2;5;4;1;1;2;2;1;1;2;1;2;1;;Muy importantes;PSOE;PSOE;Trabajador;Únicamente español;Pedro Sánchez;Votaría seguro;PSOE;245;Hombre; ;Móviles aleatorios;0.0;3.0;7.0;3.0;5.0
50;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;46240;44;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Izquierda;10;1;1;1;1;1;4394466;2;5;2;1;1;1;1;1;1;97;1;2;2;;Muy importantes;PP;PP;Trabajador;Únicamente español;Ninguno de estos;Votaría seguro;PSOE;249;Mujer; ;Móviles aleatorios;5.0;6.0;1.0;7.0;3.0
51;Canarias;99995;No;Sí;Sí;Sí;Sí;38508;46;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Centro derecha;5;2;1;1;1;1;4393601;3;5;2;4;1;4;4;1;1;4;1;4;2;;Muy importantes;C's;C's;Trabajador;Únicamente español;Albert Rivera;Votaría seguro;C's;252;Mujer; ;Móviles aleatorios;3.093561417800859;8.0;0.0;10.0;0.0
52;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;23740;76;De 60 y más años;Obligatorios;De 10.001 a 100.000;Centro derecha;1;1;1;1;1;1;4374406;4;2;2;4;1;1;1;6;1;1;1;1;1;;Muy importantes;PP;PP;Jubilado, pensionista;Únicamente español;Pablo Casado;Votaría seguro;PP;254;Hombre; ;Móviles aleatorios;2.0;5.0;0.0;6.0;0.0
53;Navarra, Com. Foral de;99995;Sí;Sí;Sí;Sí;Sí;31001;35;De 30 a 44 años;Postobligatorios profesionales;De 100.001 a 500.000;Izquierda;15;1;1;1;1;1;4393427;2;4;3;1;4;97;97;1;3;97;3;10;1;97.0;Nada importantes;No votaría;Ninguno;Trabajador;Tan español como de su comunidad;Ninguno de estos;Probablemente no votaría;EH Bildu;257;Hombre;Ninguno;Móviles aleatorios;2.0;1.0;5.0;1.0;0.0
54;Madrid, Comunidad de;28079;Sí;Sí;Sí;No;Sí;28039;32;De 30 a 44 años;Universitarios;Más de 500.000;Izquierda;13;1;1;1;2;1;4377485;2;5;4;1;1;99;97;1;1;97;1;5;2;97.0;Muy importantes;No contesta;Ninguno;Trabajador;Únicamente español;Ninguno de estos;Votaría seguro;Unidos Podemos;269;Mujer;Ninguno;Móviles aleatorios;0.0;0.0;0.0;4.454059863915515;0.0
55;Catalunya;99995;No;No;Sí;Sí;Sí;8860;50;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Centro izquierda;9;2;2;1;1;1;4374313;3;5;2;2;3;98;7;1;3;97;1;7;2;7.0;Poco importantes;No sabe;ERC;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;ERC;277;Mujer;ERC;Móviles aleatorios;3.093561417800859;3.894485893630233;5.0;0.0;5.0
56;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;99998;51;De 45 a 59 años;Universitarios;Más de 500.000;Centro derecha;13;1;1;1;1;1;4383304;3;5;4;4;2;4;4;1;3;4;1;4;1;;Bastante importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;278;Hombre; ;Móviles aleatorios;5.0;7.0;3.0;8.0;2.0
57;Catalunya;8019;Sí;Sí;Sí;Sí;Sí;8020;61;De 60 y más años;Universitarios;Más de 500.000;Centro izquierda;9;1;1;1;1;1;4376945;4;5;4;2;98;98;98;6;98;97;1;7;1;98.0;No sabe;No sabe;No sabe;Jubilado, pensionista;No sabe;Ninguno de estos;Votaría seguro;ERC;279;Hombre;No sabe;Móviles aleatorios;1.0;5.0;4.0;3.0;4.0
58;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;48002;47;De 45 a 59 años;Postobligatorios profesionales;De 100.001 a 500.000;Centro;16;1;1;1;1;1;4385999;3;4;3;3;2;9;9;1;5;2;1;9;1;;Bastante importantes;PNV;PNV;Trabajador;Únicamente de su comunidad;Pedro Sánchez;Votaría seguro;PNV;281;Hombre; ;Móviles aleatorios;0.0;0.0;5.0;0.0;5.0
59;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;4610;65;De 60 y más años;Postobligatorios;De 10.001 a 100.000;Centro derecha;1;1;1;1;1;1;4385063;4;3;2;4;2;1;1;1;1;1;1;1;1;;Bastante importantes;PP;PP;Trabajador;Únicamente español;Pablo Casado;Votaría seguro;PP;288;Hombre; ;Móviles aleatorios;4.0;5.0;0.0;5.0;0.0
